10000; 0.003
 10000; 0.003
 20000; 0.004
 30000; 0.009
 40000; 0.012
 50000; 0.013
 60000; 0.017
 70000; 0.020
 80000; 0.022
 90000; 0.027
 100000; 0.030
 10000; 0.002
 10000; 0.003
 20000; 0.006
 30000; 0.007
 40000; 0.012
 50000; 0.012
 60000; 0.018
 70000; 0.020
 80000; 0.024
 90000; 0.026
 100000; 0.032
 10000; 0.003
 20000; 0.005
 30000; 0.008
 40000; 0.010
 50000; 0.014
 60000; 0.018
 70000; 0.021
 10000; 0.000
 10000; 0.000
 20000; 0.000
 30000; 0.000
 40000; 0.000
 50000; 0.016
 60000; 0.016
 70000; 0.015
 80000; 0.022
 90000; 0.031
 100000; 0.038
 
